Campaka;Andir;Bandung
Ciroyom;Andir;Bandung
Dunguscariang;Andir;Bandung
Garuda;Andir;Bandung
Kebonjeruk;Andir;Bandung
Maleber;Andir;Bandung
Antapani Kidul;Antapani;Bandung
Antapani Kulon;Antapani;Bandung
Antapani Tengah;Antapani;Bandung
Antapani Wetan;Antapani;Bandung
Cisaranten Endah;Arcamanik;Bandung
Cisaranten Kulon;Arcamanik;Bandung
Cisaranten Bina Harapan;Arcamanik;Bandung
Sukamiskin;Arcamanik;Bandung
Cibadak;Astanaanyar;Bandung
Karanganyar;Astanaanyar;Bandung
Karasak;Astanaanyar;Bandung
Nyengseret;Astanaanyar;Bandung
Panjunan;Astanaanyar;Bandung
Pelindunghewan;Astanaanyar;Bandung
Babakan;Babakanciparay;Bandung
Babakanciparay;Babakanciparay;Bandung
Cirangrang;Babakanciparay;Bandung
Margahayu Utara;Babakanciparay;Bandung
Margasuka;Babakanciparay;Bandung
Sukahaji;Babakanciparay;Bandung
Batununggal;Bandung Kidul;Bandung
Kujangsari;Bandung Kidul;Bandung
Mengger;Bandung Kidul;Bandung
Wates;Bandung Kidul;Bandung
Caringin;Bandung Kulon;Bandung
Cibuntu;Bandung Kulon;Bandung
Cigondewah Kaler;Bandung Kulon;Bandung
Cigondewah Kidul;Bandung Kulon;Bandung
Cigondewah Rahayu;Bandung Kulon;Bandung
Cijerah;Bandung Kulon;Bandung
Gempolsari;Bandung Kulon;Bandung
Warungmuncang;Bandung Kulon;Bandung
Cihapit;Bandung Wetan;Bandung
Citarum;Bandung Wetan;Bandung
Tamansari;Bandung Wetan;Bandung
Binong;Batununggal;Bandung
Cibangkong;Batununggal;Bandung
Gumuruh;Batununggal;Bandung
Kacapiring;Batununggal;Bandung
Kebongedang;Batununggal;Bandung
Kebonwaru;Batununggal;Bandung
Maleer;Batununggal;Bandung
Samoja;Batununggal;Bandung
Babakan Asih;Bojongloa Kaler;Bandung
Babakan Tarogong;Bojongloa Kaler;Bandung
Jamika;Bojongloa Kaler;Bandung
Kopo;Bojongloa Kaler;Bandung
Suka Asih;Bojongloa Kaler;Bandung
Cibaduyut;Bojongloa Kidul;Bandung
Cibaduyut Kidul;Bojongloa Kidul;Bandung
Cibaduyut Wetan;Bojongloa Kidul;Bandung
Kebon Lega;Bojongloa Kidul;Bandung
Mekarwangi;Bojongloa Kidul;Bandung
Situsaeur;Bojongloa Kidul;Bandung
Cijawura;Buahbatu;Bandung
Jatisari;Buahbatu;Bandung
Margasari;Buahbatu;Bandung
Sekejati;Buahbatu;Bandung
Cigadung;Cibeunying Kaler;Bandung
Cihaurgeulis;Cibeunying Kaler;Bandung
Neglasari;Cibeunying Kaler;Bandung
Sukaluyu;Cibeunying Kaler;Bandung
Cicadas;Cibeunying Kidul;Bandung
Cikutra;Cibeunying Kidul;Bandung
Padasuka;Cibeunying Kidul;Bandung
Pasirlayung;Cibeunying Kidul;Bandung
Sukamaju;Cibeunying Kidul;Bandung
Sukapada;Cibeunying Kidul;Bandung
Cipadung;Cibiru;Bandung
Cisurupan;Cibiru;Bandung
Palasari;Cibiru;Bandung
Pasirbiru;Cibiru;Bandung
Arjuna;Cicendo;Bandung
Husen Sastranegara;Cicendo;Bandung
Pajajaran;Cicendo;Bandung
Pamoyanan;Cicendo;Bandung
Pasirkaliki;Cicendo;Bandung
Sukaraja;Cicendo;Bandung
Ciumbuleuit;Cidadap;Bandung
Hegarmanah;Cidadap;Bandung
Ledeng;Cidadap;Bandung
Babakan Penghulu;Cinambo;Bandung
Cisaranten Wetan;Cinambo;Bandung
Pakemitan;Cinambo;Bandung
Sukamulya;Cinambo;Bandung
Cipaganti;Coblong;Bandung
Dago;Coblong;Bandung
Lebakgede;Coblong;Bandung
Lebaksiliwangi;Coblong;Bandung
Sadangserang;Coblong;Bandung
Sekeloa;Coblong;Bandung
Cimincrang;Gedebage;Bandung
Cisaranten Kidul;Gedebage;Bandung
Rancabolang;Gedebage;Bandung
Rancanumpang;Gedebage;Bandung
Babakansari;Kiaracondong;Bandung
Babakansurabaya;Kiaracondong;Bandung
Cicaheum;Kiaracondong;Bandung
Kebonkangkung;Kiaracondong;Bandung
Kebunjayanti;Kiaracondong;Bandung
Sukapura;Kiaracondong;Bandung
Burangrang;Lengkong;Bandung
Cijagra;Lengkong;Bandung
Cikawao;Lengkong;Bandung
Lingkar Selatan;Lengkong;Bandung
Malabar;Lengkong;Bandung
Paledang;Lengkong;Bandung
Turangga;Lengkong;Bandung
Jatihandap;Mandalajati;Bandung
Karangpamulang;Mandalajati;Bandung
Pasir Impun;Mandalajati;Bandung
Sindangjaya;Mandalajati;Bandung
Cipadung Kidul;Panyileukan;Bandung
Cipadung Kulon;Panyileukan;Bandung
Cipadung Wetan;Panyileukan;Bandung
Mekarmulya;Panyileukan;Bandung
Cipamokolan;Rancasari;Bandung
Darwati;Rancasari;Bandung
Manjahlega;Rancasari;Bandung
Mekarmulya;Rancasari;Bandung
Ancol;Regol;Bandung
Balonggede;Regol;Bandung
Ciateul;Regol;Bandung
Cigereleng;Regol;Bandung
Ciseureuh;Regol;Bandung
Pasirluyu;Regol;Bandung
Pungkur;Regol;Bandung
Cipedes;Sukajadi;Bandung
Pasteur;Sukajadi;Bandung
Sukabungah;Sukajadi;Bandung
Sukagalih;Sukajadi;Bandung
Sukawarna;Sukajadi;Bandung
Gegerkalong;Sukasari;Bandung
Isola;Sukasari;Bandung
Sarijadi;Sukasari;Bandung
Sukarasa;Sukasari;Bandung
Babakanciamis;Sumurbandung;Bandung
Braga;Sumurbandung;Bandung
Kebonpisang;Sumurbandung;Bandung
Merdeka;Sumurbandung;Bandung
Cigending;Ujungberung;Bandung
Pasanggrahan;Ujungberung;Bandung
Pasirendah;Ujungberung;Bandung
Pasirjati;Ujungberung;Bandung
Pasirwangi;Ujungberung;Bandung
